formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
Cr2B2Ir,63,Orthorhombic,Cmcm,mmm
Ca3SiBr2,164,Trigonal,P-3m1,-3m
Ce3SiPt5,74,Orthorhombic,Imma,mmm
Er5Rh3,193,Hexagonal,P6_3/mcm,6/mmm
Al3Pt2,164,Trigonal,P-3m1,-3m
K13Na2W7N19,2,Triclinic,P-1,-1
Nb3H12C4NCl9,164,Trigonal,P-3m1,-3m
ErZn5,191,Hexagonal,P6/mmm,6/mmm
Na7Ga13,166,Trigonal,R-3m,-3m
FeCl2,164,Trigonal,P-3m1,-3m
SiH17C11N,2,Triclinic,P-1,-1
Lu(FeSi)2,139,Tetragonal,I4/mmm,4/mmm
CsAgBr2,129,Tetragonal,P4/nmm,4/mmm
TlI,225,Cubic,Fm-3m,m-3m
In5AgSe8,111,Tetragonal,P-42m,-42m
Er4InRh,216,Cubic,F-43m,-43m
Li2Nd2Si3,63,Orthorhombic,Cmcm,mmm
FeI2,164,Trigonal,P-3m1,-3m
Cr11Ge8,62,Orthorhombic,Pnma,mmm
Cs2KScCl6,225,Cubic,Fm-3m,m-3m
Ce8Ni18P11,187,Hexagonal,P-6m2,-6m2
Ti2BRh6,225,Cubic,Fm-3m,m-3m
LiMg10AlH24,3,Monoclinic,P2,2
NbSe2,187,Hexagonal,P-6m2,-6m2
ZrI2,31,Orthorhombic,Pmn2_1,mm2
Xe,194,Hexagonal,P6_3/mmc,6/mmm
CdI2,156,Trigonal,P3m1,3m
LiWCl6,146,Trigonal,R3,3
Cd2Fe(CN)6,162,Trigonal,P-31m,-3m
ZrHg3(SeCl3)2,14,Monoclinic,P2_1/c,2/m
LaZnRh,62,Orthorhombic,Pnma,mmm
Li2GaIr,225,Cubic,Fm-3m,m-3m
Eu2B4Rh5,69,Orthorhombic,Fmmm,mmm
Cs(BCl)6,148,Trigonal,R-3,-3
NbP2NCl12,15,Monoclinic,C2/c,2/m
Nd4Br9,7,Monoclinic,Pc,m
NiH20(C4N5)2,14,Monoclinic,P2_1/c,2/m
Rb2AgAu3I8,15,Monoclinic,C2/c,2/m
Ce2Br3N,88,Tetragonal,I4_1/a,4/m
NaN3,12,Monoclinic,C2/m,2/m
CdI2,156,Trigonal,P3m1,3m
CdI2,156,Trigonal,P3m1,3m
SrTi2O5,35,Orthorhombic,Cmm2,mm2
SbS8Cl5O,62,Orthorhombic,Pnma,mmm
Cs2Al(NO3)5,152,Trigonal,P3_121,32
KFeC6(NO)3,148,Trigonal,R-3,-3
TlMo2Cl7O2,59,Orthorhombic,Pmmn,mmm
CsDy(MoO4)2,13,Monoclinic,P2/c,2/m
Cs3P7Pb2O21,2,Triclinic,P-1,-1
SiO2,85,Tetragonal,P4/n,4/m
SbXeOF9,2,Triclinic,P-1,-1
Cs4V2S4O3,62,Orthorhombic,Pnma,mmm
K3ClO,62,Orthorhombic,Pnma,mmm
FeCoPO4F,9,Monoclinic,Cc,m
Cs2KMn3F12,15,Monoclinic,C2/c,2/m
Ce3CI5,2,Triclinic,P-1,-1
AlTeCl7,14,Monoclinic,P2_1/c,2/m
CsTeAu,51,Orthorhombic,Pmma,mmm
Cs2Te,62,Orthorhombic,Pnma,mmm
U2Te5,12,Monoclinic,C2/m,2/m
Cs3As11,15,Monoclinic,C2/c,2/m
ReI3,11,Monoclinic,P2_1/m,2/m
La7Ni3,186,Hexagonal,P6_3mc,6mm
Tm3(CuSn)4,12,Monoclinic,C2/m,2/m
Ba2ScCl7,4,Monoclinic,P2_1,2
K2Ag4Se3,12,Monoclinic,C2/m,2/m
Sr11(MgSi5)2,12,Monoclinic,C2/m,2/m
Hg(CN)2,122,Tetragonal,I-42d,-42m
Cs2MnSe2,72,Orthorhombic,Ibam,mmm
CsCeSiSe4,19,Orthorhombic,P2_12_12_1,222
LiBi2(PO4)3,14,Monoclinic,P2_1/c,2/m
LiMn4(PO4)3,2,Triclinic,P-1,-1
LiMo4(P2O11)2,2,Triclinic,P-1,-1
LiMo2(PO4)3,5,Monoclinic,C2,2
MnP2O7,2,Triclinic,P-1,-1
Li5Mo2P5O18,2,Triclinic,P-1,-1
LiMnPO4,9,Monoclinic,Cc,m
Li9Bi3P8O29,165,Trigonal,P-3c1,-3m
LiFePO4,9,Monoclinic,Cc,m
Cr4P7O24,2,Triclinic,P-1,-1
LiMo4P7O24,2,Triclinic,P-1,-1
Li3Mn3(PO4)4,1,Triclinic,P1,1
LiCu2P5O16,7,Monoclinic,Pc,m
LiCr2P3O10,11,Monoclinic,P2_1/m,2/m
Mn4(PO4)3,9,Monoclinic,Cc,m
H12W3C4S2Cl9O2,14,Monoclinic,P2_1/c,2/m
NaH2CSO4F3,14,Monoclinic,P2_1/c,2/m
Na3YH12(CO5)3,173,Hexagonal,P6_3,6
K2VH4C4O9,61,Orthorhombic,Pbca,mmm
ZnH8C4(NO3)2,52,Orthorhombic,Pnna,mmm
ZrGaPt,190,Hexagonal,P-62c,-6m2
DyCuPbSe3,62,Orthorhombic,Pnma,mmm
SrH6(CO3)2,19,Orthorhombic,P2_12_12_1,222
FePH5CO4,31,Orthorhombic,Pmn2_1,mm2
Sc,178,Hexagonal,P6_122,622
K3AlH6,58,Orthorhombic,Pnnm,mmm
MnGaNi2,139,Tetragonal,I4/mmm,4/mmm
TbCuPbSe3,62,Orthorhombic,Pnma,mmm
CuH2(CO2)2,61,Orthorhombic,Pbca,mmm
RbPrP3HO10,2,Triclinic,P-1,-1
Rb4CeH12C3O17,2,Triclinic,P-1,-1
KDyH2C2SO9,14,Monoclinic,P2_1/c,2/m
Cu3As2H16C16Br3(NO)2,2,Triclinic,P-1,-1
As3H9RhC3(BrO)3,14,Monoclinic,P2_1/c,2/m
CsCu3As8H24C8(IO2)4,2,Triclinic,P-1,-1
KCa4Si8H16O28F,128,Tetragonal,P4/mnc,4/mmm
DyGaCo,62,Orthorhombic,Pnma,mmm
DyH6C6Cl3(O3F2)3,14,Monoclinic,P2_1/c,2/m
In2Cu2O5,13,Monoclinic,P2/c,2/m
LaFeO3,31,Orthorhombic,Pmn2_1,mm2
ZnH4SeO6,61,Orthorhombic,Pbca,mmm
HgTe(H2O3)2,33,Orthorhombic,Pna2_1,mm2
RbPbF3,2,Triclinic,P-1,-1
CsU2H3(C2O7)2,11,Monoclinic,P2_1/m,2/m
RbU2H5C4O15,11,Monoclinic,P2_1/m,2/m
CuN6,62,Orthorhombic,Pnma,mmm
MgWO4,13,Monoclinic,P2/c,2/m
NbSNCl6,2,Triclinic,P-1,-1
Zr2InPd2,136,Tetragonal,P4_2/mnm,4/mmm
Ba2GdSbO6,225,Cubic,Fm-3m,m-3m
Os3C9S2O9,2,Triclinic,P-1,-1
Pb2O3,11,Monoclinic,P2_1/m,2/m
PaCl2O,55,Orthorhombic,Pbam,mmm
ZnS,160,Trigonal,R3m,3m
Co(CO)4,11,Monoclinic,P2_1/m,2/m
NaHgCl3,62,Orthorhombic,Pnma,mmm
CsGaCl4,62,Orthorhombic,Pnma,mmm
EuSnPt,62,Orthorhombic,Pnma,mmm
Sb2Mo10O31,28,Orthorhombic,Pma2,mm2
Sc2CrC3,55,Orthorhombic,Pbam,mmm
Cs3NdCl6,57,Orthorhombic,Pbcm,mmm
CdI2,156,Trigonal,P3m1,3m
Sr21(Cd2Bi9)2,12,Monoclinic,C2/m,2/m
Tb4InRh,216,Cubic,F-43m,-43m
LaNi5As3,62,Orthorhombic,Pnma,mmm
Y3Ni2,92,Tetragonal,P4_12_12,422
Ce3Bi4Pd3,220,Cubic,I-43d,-43m
CsNb4Cl11,51,Orthorhombic,Pmma,mmm
Si2Ni7P5,60,Orthorhombic,Pbcn,mmm
K3Ta2Ag3Se8,15,Monoclinic,C2/c,2/m
La4Si4I3,12,Monoclinic,C2/m,2/m
CsZr6CI14,64,Orthorhombic,Cmce,mmm
Cs5In3As4,14,Monoclinic,P2_1/c,2/m
Cs12Nb(In2As3)3,2,Triclinic,P-1,-1
Ge8Pd21,88,Tetragonal,I4_1/a,4/m
TlCr4BiO14,14,Monoclinic,P2_1/c,2/m
K2PtC4(SN)4,14,Monoclinic,P2_1/c,2/m
BiOs2(CO)6,15,Monoclinic,C2/c,2/m
In2Sn3S7,11,Monoclinic,P2_1/m,2/m
In3Te3I,62,Orthorhombic,Pnma,mmm
CsSnI3,127,Tetragonal,P4/mbm,4/mmm
N2O3,19,Orthorhombic,P2_12_12_1,222
Cs2CuCl4,62,Orthorhombic,Pnma,mmm
C,194,Hexagonal,P6_3/mmc,6/mmm
Co2C5SO5,14,Monoclinic,P2_1/c,2/m
TeMoCl7O,14,Monoclinic,P2_1/c,2/m
Cs2CO3,14,Monoclinic,P2_1/c,2/m
Na2ZnCl4,62,Orthorhombic,Pnma,mmm
C2SN2,61,Orthorhombic,Pbca,mmm
ReC5IO5,63,Orthorhombic,Cmcm,mmm
CsLi3Br4,26,Orthorhombic,Pmc2_1,mm2
Cs2NaErCl6,225,Cubic,Fm-3m,m-3m
CsCrI3,60,Orthorhombic,Pbcn,mmm
Cs2KTbCl6,225,Cubic,Fm-3m,m-3m
Eu(Ni2B)6,166,Trigonal,R-3m,-3m
Hf6Si7Ni16,225,Cubic,Fm-3m,m-3m
Re3Se4Cl,2,Triclinic,P-1,-1
Ca(BH)2,62,Orthorhombic,Pnma,mmm
Rb4(Mo7Se8)3,148,Trigonal,R-3,-3
Ce3CCl5,15,Monoclinic,C2/c,2/m
ZrIN,166,Trigonal,R-3m,-3m
YGe2Ir,71,Orthorhombic,Immm,mmm
MgZn5,12,Monoclinic,C2/m,2/m
AgI,186,Hexagonal,P6_3mc,6mm
RbC2I3N2,59,Orthorhombic,Pmmn,mmm
Ru(SCl3)4,14,Monoclinic,P2_1/c,2/m
K2Sn(GeO3)3,165,Trigonal,P-3c1,-3m
Li(Fe3Ge2)2,166,Trigonal,R-3m,-3m
BaSb2,11,Monoclinic,P2_1/m,2/m
Ta2O5,5,Monoclinic,C2,2
V2O5,59,Orthorhombic,Pmmn,mmm
VAgO3,15,Monoclinic,C2/c,2/m
ScIr3C,221,Cubic,Pm-3m,m-3m
Fe4Te2(CO)11,56,Orthorhombic,Pccn,mmm
P2WO8,62,Orthorhombic,Pnma,mmm
C,67,Orthorhombic,Cmme,mmm
LaNb2CuBrO7,123,Tetragonal,P4/mmm,4/mmm
KEu(CuTe2)2,99,Tetragonal,P4mm,4mm
CdInGaS4,156,Trigonal,P3m1,3m
NaHO,160,Trigonal,R3m,3m
La(HO)3,173,Hexagonal,P6_3,6
Al(HO)3,14,Monoclinic,P2_1/c,2/m
H2W2O7,46,Orthorhombic,Ima2,mm2
MoH4O5,4,Monoclinic,P2_1,2
Al(HO)3,1,Triclinic,P1,1
Al(HO)3,1,Triclinic,P1,1
La(HO)3,1,Triclinic,P1,1
Sn3(HO2)2,9,Monoclinic,Cc,m
H8N2O,62,Orthorhombic,Pnma,mmm
Sr(H8O5)2,9,Monoclinic,Cc,m
Sr(H8O5)2,7,Monoclinic,Pc,m
Al(HO)3,1,Triclinic,P1,1
Ba(H2O3)2,15,Monoclinic,C2/c,2/m
V3(HO2)4,12,Monoclinic,C2/m,2/m
Sr(H2O3)2,15,Monoclinic,C2/c,2/m
Na2TiSiO5,84,Tetragonal,P4_2/m,4/m
Os3C10SO10,2,Triclinic,P-1,-1
LiEu(SO4)2,118,Tetragonal,P-4n2,-42m
Cs2SrN12,63,Orthorhombic,Cmcm,mmm
K(Zr3I7)2,64,Orthorhombic,Cmce,mmm
Cs3Cr2I9,194,Hexagonal,P6_3/mmc,6/mmm
Re2C3I4O3,15,Monoclinic,C2/c,2/m
Os3C12(IO6)2,14,Monoclinic,P2_1/c,2/m
La2Ge2O7,1,Triclinic,P1,1
ReC4IO4,14,Monoclinic,P2_1/c,2/m
Sb4Pb4S11,55,Orthorhombic,Pbam,mmm
K2RbBiSe3,198,Cubic,P2_13,23
TlAg(CN)2,14,Monoclinic,P2_1/c,2/m
NdOsO4,33,Orthorhombic,Pna2_1,mm2
Cs3Sb2N3(O3F2)3,15,Monoclinic,C2/c,2/m
PH3O4,14,Monoclinic,P2_1/c,2/m
PH3O4,7,Monoclinic,Pc,m
As3HO6,7,Monoclinic,Pc,m
PH3O4,14,Monoclinic,P2_1/c,2/m
Al(HO)3,7,Monoclinic,Pc,m
Al(HO)3,14,Monoclinic,P2_1/c,2/m
Al(HO)3,1,Triclinic,P1,1
H4SO5,7,Monoclinic,Pc,m
H4SO5,14,Monoclinic,P2_1/c,2/m
V2HO4,6,Monoclinic,Pm,m
FeHO2,11,Monoclinic,P2_1/m,2/m
Al(HO)3,1,Triclinic,P1,1
Al(HO)3,8,Monoclinic,Cm,m
Al(HO)3,1,Triclinic,P1,1
Al(HO)3,1,Triclinic,P1,1
TaAsPb2,225,Cubic,Fm-3m,m-3m
InCoSi2,225,Cubic,Fm-3m,m-3m
Ca2CoW,216,Cubic,F-43m,-43m
BaRe2Sn,216,Cubic,F-43m,-43m
ReSnGe,216,Cubic,F-43m,-43m
Na2SrFe,225,Cubic,Fm-3m,m-3m
FePbW2,216,Cubic,F-43m,-43m
SnOs2Ru,216,Cubic,F-43m,-43m
La5In3Br,193,Hexagonal,P6_3/mcm,6/mmm
H2,139,Tetragonal,I4/mmm,4/mmm
TaTcPb2,216,Cubic,F-43m,-43m
ZrH,119,Tetragonal,I-4m2,-42m
HBr,36,Orthorhombic,Cmc2_1,mm2
H2,229,Cubic,Im-3m,m-3m
NaHF2,5,Monoclinic,C2,2
Ce2P3Au,62,Orthorhombic,Pnma,mmm
AlBiTeCl4,82,Tetragonal,I-4,-4
K5Th(PS4)3,14,Monoclinic,P2_1/c,2/m
SbN6Cl,15,Monoclinic,C2/c,2/m
KEuPSe4,62,Orthorhombic,Pnma,mmm
Sr(AlCl4)2,13,Monoclinic,P2/c,2/m
KEuPS4,62,Orthorhombic,Pnma,mmm
Cs5Sb8,14,Monoclinic,P2_1/c,2/m
Eu2Ge2Se5,14,Monoclinic,P2_1/c,2/m
In4SnSe4,205,Cubic,Pa-3,m-3
SnSe,63,Orthorhombic,Cmcm,mmm
GeTe,60,Orthorhombic,Pbcn,mmm
V3Pb5ClO12,176,Hexagonal,P6_3/m,6/m
K3TiCl6,14,Monoclinic,P2_1/c,2/m
K2EuSiSe5,14,Monoclinic,P2_1/c,2/m
SiO2,65,Orthorhombic,Cmmm,mmm
InCuPt2,123,Tetragonal,P4/mmm,4/mmm
CrF5,57,Orthorhombic,Pbcm,mmm
EuCu,221,Cubic,Pm-3m,m-3m
SiO2,119,Tetragonal,I-4m2,-42m
PuS2,129,Tetragonal,P4/nmm,4/mmm
SiO2,51,Orthorhombic,Pmma,mmm
SiO2,141,Tetragonal,I4_1/amd,4/mmm
TlVTeO5,33,Orthorhombic,Pna2_1,mm2
Cu3Mo2O9,62,Orthorhombic,Pnma,mmm
SiO2,63,Orthorhombic,Cmcm,mmm
Cs,194,Hexagonal,P6_3/mmc,6/mmm
SiO2,29,Orthorhombic,Pca2_1,mm2
SiO2,139,Tetragonal,I4/mmm,4/mmm
Rb,141,Tetragonal,I4_1/amd,4/mmm
In3Ir,62,Orthorhombic,Pnma,mmm
Ni(RhO2)2,141,Tetragonal,I4_1/amd,4/mmm
Zr7Ni10,64,Orthorhombic,Cmce,mmm
Cd(C2N3)2,14,Monoclinic,P2_1/c,2/m
Rb2ZnBr4,14,Monoclinic,P2_1/c,2/m
FeSnRu2,225,Cubic,Fm-3m,m-3m
YPb2,63,Orthorhombic,Cmcm,mmm
Gd2MnGa6,225,Cubic,Fm-3m,m-3m
LaTiNbBi2O9,55,Orthorhombic,Pbam,mmm
Ga2I3,14,Monoclinic,P2_1/c,2/m
YHf2Pb,225,Cubic,Fm-3m,m-3m
Zr(MoO4)2,31,Orthorhombic,Pmn2_1,mm2
VO2,2,Triclinic,P-1,-1
Ce3(AlI)2,12,Monoclinic,C2/m,2/m
Hg2ClO,2,Triclinic,P-1,-1
Gd3CuSiSe7,173,Hexagonal,P6_3,6
Fe21(MoC3)2,225,Cubic,Fm-3m,m-3m
Fe21(WC3)2,225,Cubic,Fm-3m,m-3m
U4Ga12Co,229,Cubic,Im-3m,m-3m
CaCO3,62,Orthorhombic,Pnma,mmm
U2(Al3Co)3,63,Orthorhombic,Cmcm,mmm
XeF6,33,Orthorhombic,Pna2_1,mm2
XeF6,15,Monoclinic,C2/c,2/m
Eu2Ir2O7,227,Cubic,Fd-3m,m-3m
Ce6In5Pd12,193,Hexagonal,P6_3/mcm,6/mmm
CsNb2PS10,7,Monoclinic,Pc,m
Li7P3S11,2,Triclinic,P-1,-1
Cu5Si(SbO6)2,54,Orthorhombic,Pcca,mmm
Ca3SiO5,2,Triclinic,P-1,-1
Sr19In8N7,225,Cubic,Fm-3m,m-3m
TeOsCl2,216,Cubic,F-43m,-43m
OsPtCl2,216,Cubic,F-43m,-43m
CdPOs2,216,Cubic,F-43m,-43m
CrIrRu,216,Cubic,F-43m,-43m
ZrTcCl,216,Cubic,F-43m,-43m
ScTl2W,225,Cubic,Fm-3m,m-3m
KSi2Hg,216,Cubic,F-43m,-43m
TlTcIr2,225,Cubic,Fm-3m,m-3m
CdNiP,216,Cubic,F-43m,-43m
CaTa2Tl,216,Cubic,F-43m,-43m
NbRu2Cl,225,Cubic,Fm-3m,m-3m
Re2PCl,216,Cubic,F-43m,-43m
ReRuCl2,225,Cubic,Fm-3m,m-3m
CuRe2Cl,225,Cubic,Fm-3m,m-3m
CaRe2Si,225,Cubic,Fm-3m,m-3m
GaFeO3,33,Orthorhombic,Pna2_1,mm2
MoPNCl6O,14,Monoclinic,P2_1/c,2/m
ReTe7O7F32,2,Triclinic,P-1,-1
AlSeCl7,1,Triclinic,P1,1
ReTe5O6F25,14,Monoclinic,P2_1/c,2/m
Os10C23S2O23,15,Monoclinic,C2/c,2/m
CrC5SO7,33,Orthorhombic,Pna2_1,mm2
Th6FeBr15,229,Cubic,Im-3m,m-3m
NbClF8,54,Orthorhombic,Pcca,mmm
Mo6PbBr14,201,Cubic,Pn-3,m-3
Sm11(CoB)40,114,Tetragonal,P-42_1c,-42m
FeSCl7,14,Monoclinic,P2_1/c,2/m
KBiN(ClO)3,14,Monoclinic,P2_1/c,2/m
Sr2(PPd)3,47,Orthorhombic,Pmmm,mmm
Ca3BCNCl2,62,Orthorhombic,Pnma,mmm
As9Pb7S20,4,Monoclinic,P2_1,2
La8Al4I7,2,Triclinic,P-1,-1
Hg4Pb2N6O19,227,Cubic,Fd-3m,m-3m
Lu5(In2Ni)2,55,Orthorhombic,Pbam,mmm
Tb2EuSe4,62,Orthorhombic,Pnma,mmm
Dy3Co,62,Orthorhombic,Pnma,mmm
Gd(NiGe)2,139,Tetragonal,I4/mmm,4/mmm
Nd2InRh2,127,Tetragonal,P4/mbm,4/mmm
U2InPd2,127,Tetragonal,P4/mbm,4/mmm
TbCoSn,62,Orthorhombic,Pnma,mmm
Tm2In8Co,123,Tetragonal,P4/mmm,4/mmm
Hf2Ni2Sn,127,Tetragonal,P4/mbm,4/mmm
KEuAsS3,14,Monoclinic,P2_1/c,2/m
NaCe4I7N2,33,Orthorhombic,Pna2_1,mm2
V2Ni(PO5)2,14,Monoclinic,P2_1/c,2/m
Mg7TiH16,225,Cubic,Fm-3m,m-3m
KAlH2CO5,63,Orthorhombic,Cmcm,mmm
Eu2MgH6,164,Trigonal,P-3m1,-3m
CaZrGeO5,2,Triclinic,P-1,-1
NaHSeO4,14,Monoclinic,P2_1/c,2/m
UW3O11,51,Orthorhombic,Pmma,mmm
Ca(H2N)2,14,Monoclinic,P2_1/c,2/m
CuPt,166,Trigonal,R-3m,-3m
NaV3H6(SO7)2,166,Trigonal,R-3m,-3m
K2FeH4(SO5)2,2,Triclinic,P-1,-1
CsFeSiO4,33,Orthorhombic,Pna2_1,mm2
H8C3N2O,43,Orthorhombic,Fdd2,mm2
KMnF3,11,Monoclinic,P2_1/m,2/m
K2CoH4(SeO5)2,2,Triclinic,P-1,-1
BaBiO3,1,Triclinic,P1,1
CeSiP3,33,Orthorhombic,Pna2_1,mm2
Nb6InCl15,51,Orthorhombic,Pmma,mmm
Nb4Te17I4,15,Monoclinic,C2/c,2/m
Fe3(GeO4)2,14,Monoclinic,P2_1/c,2/m
Na8Si7O18,1,Triclinic,P1,1
GdFe5P3,62,Orthorhombic,Pnma,mmm
Ce10Se19,86,Tetragonal,P4_2/n,4/m
Re3S4Br,14,Monoclinic,P2_1/c,2/m
OsC4ClO4,19,Orthorhombic,P2_12_12_1,222
KS2N(O2F)2,61,Orthorhombic,Pbca,mmm
Fe4Pb(CO)16,14,Monoclinic,P2_1/c,2/m
Zn10Fe(B4Rh9)2,127,Tetragonal,P4/mbm,4/mmm
AuC5(SCl)4,12,Monoclinic,C2/m,2/m
Cu2Bi4Pb2S9,62,Orthorhombic,Pnma,mmm
C2IO,96,Tetragonal,P4_32_12,422
Ti13O22,64,Orthorhombic,Cmce,mmm
FePH5CO8,14,Monoclinic,P2_1/c,2/m
Y2Mn2S2O5,139,Tetragonal,I4/mmm,4/mmm
Ni9O10,2,Triclinic,P-1,-1
Ni3O4,65,Orthorhombic,Cmmm,2/m
EuTlPS4,62,Orthorhombic,Pnma,mmm
K3TiCl6,14,Monoclinic,P2_1/c,2/m
RhSCl5,9,Monoclinic,Cc,m
MgSiO3,33,Orthorhombic,Pna2_1,mm2
MgSiO3,61,Orthorhombic,Pbca,mmm
Na12B26O45,9,Monoclinic,Cc,m
BaZn(SeO3)2,14,Monoclinic,P2_1/c,2/m
Na3Si2PO8,19,Orthorhombic,P2_12_12_1,222
SrAl2(SiO4)2,15,Monoclinic,C2/c,2/m
Ce5C2Cl9,2,Triclinic,P-1,-1
NbTeCl9,15,Monoclinic,C2/c,2/m
Rb5Mo18S19,148,Trigonal,R-3,-3
Rb3Ce(PSe4)2,14,Monoclinic,P2_1/c,2/m
Cs2TeO4,62,Orthorhombic,Pnma,mmm
LaNb2CuClO7,123,Tetragonal,P4/mmm,4/mmm
Fe2Mo4C,227,Cubic,Fd-3m,m-3m
CdI2,156,Trigonal,P3m1,3m
CdI2,156,Trigonal,P3m1,3m
KNd3Te8,14,Monoclinic,P2_1/c,2/m
CdI2,156,Trigonal,P3m1,3m
Cu2BiAsO6,62,Orthorhombic,Pnma,mmm
Cs3Re3(SI)4,225,Cubic,Fm-3m,m-3m
KAl(SO4)2,150,Trigonal,P321,32
Ta5AuS,216,Cubic,F-43m,-43m
Gd3B2(O2F)3,15,Monoclinic,C2/c,2/m
H6CN4O3,8,Monoclinic,Cm,m
Rb2H6Pt,225,Cubic,Fm-3m,m-3m
Ba3NaBiO6,15,Monoclinic,C2/c,2/m
K5Ag(NO)2,4,Monoclinic,P2_1,2
Cs2Co(PO3)4,14,Monoclinic,P2_1/c,2/m
K2Si2Pb2O,191,Hexagonal,P6/mmm,6/mmm
Li3V2(PO4)3,14,Monoclinic,P2_1/c,2/m
PH8IN4,125,Tetragonal,P4/nbm,4/mmm
Cu6PbSe2Cl5O8,12,Monoclinic,C2/m,2/m
Cs2H6Pt,225,Cubic,Fm-3m,m-3m
K3MnH5,140,Tetragonal,I4/mcm,4/mmm
Na2AlH4ClO4,129,Tetragonal,P4/nmm,4/mmm
Ba2H6Pt,64,Orthorhombic,Cmce,mmm
K2H4Pd,139,Tetragonal,I4/mmm,4/mmm
Li4H3ClO3,11,Monoclinic,P2_1/m,2/m
Cu9Se5,2,Triclinic,P-1,-1
Y2Se3,122,Tetragonal,I-42d,-42m
Ti7S12,2,Triclinic,P-1,-1
H2O,36,Orthorhombic,Cmc2_1,mm2
Ce3(Si3Pd10)2,2,Triclinic,P-1,-1
CuGe2P3,8,Monoclinic,Cm,m
TiO,2,Triclinic,P-1,-1
In4(SnO4)3,1,Triclinic,P1,1
U11O5,1,Triclinic,P1,1
NdO3,1,Triclinic,P1,1
La2Th3O9,119,Tetragonal,I-4m2,-42m
Ba2In2O5,1,Triclinic,P1,1
Ta11O2,1,Triclinic,P1,1
Sn16P15,1,Triclinic,P1,1
Nd10Se19,2,Triclinic,P-1,-1
FeOF,92,Tetragonal,P4_12_12,422
Y4CuTe8,7,Monoclinic,Pc,m
CsHgCl3,113,Tetragonal,P-42_1m,-42m
CsPF6,166,Trigonal,R-3m,-3m
Ho2Zr8O19,115,Tetragonal,P-4m2,-42m
Na(Ce2Se3)4,122,Tetragonal,I-42d,-42m
Li4MoO5,79,Tetragonal,I4,4
Nd16Zr16O49,1,Triclinic,P1,1
CsPbCl3,155,Trigonal,R32,32
Co8(BiO4)5,1,Triclinic,P1,1
SbRhO4,65,Orthorhombic,Cmmm,mmm
K(OsO3)2,160,Trigonal,R3m,3m
TiNiO3,1,Triclinic,P1,1
Ga12Ag2Te19,1,Triclinic,P1,1
Sm2EuS4,122,Tetragonal,I-42d,-42m
CuAgO2,2,Triclinic,P-1,-1
Ba2U2O3,6,Monoclinic,Pm,m
Sr4Nb2O9,15,Monoclinic,C2/c,2/m
BH6N,1,Triclinic,P1,1
LiPrS2,9,Monoclinic,Cc,m
Pr4Ag2Se7,7,Monoclinic,Pc,m
Sr3Cr2O7,12,Monoclinic,C2/m,2/m
Ba2P2O7,38,Orthorhombic,Amm2,mm2
Ho14(PbS8)3,5,Monoclinic,C2,2
Ba3PrF9,1,Triclinic,P1,1
Sr24Ni19O54,1,Triclinic,P1,1
Sm4Ag2Se7,7,Monoclinic,Pc,m
Mn2SbTe,31,Orthorhombic,Pmn2_1,mm2
MgMo3Se4,2,Triclinic,P-1,-1
Sm2Zr2O7,51,Orthorhombic,Pmma,mmm
Ga2HgTe4,1,Triclinic,P1,1
Zn7(SbO6)2,15,Monoclinic,C2/c,2/m
NaHoF4,141,Tetragonal,I4_1/amd,4/mmm
Li5TiP3,15,Monoclinic,C2/c,2/m
KNbCl6,4,Monoclinic,P2_1,2
Y4Zr3O12,2,Triclinic,P-1,-1
Sm2Th3O9,119,Tetragonal,I-4m2,-42m
Li11TiAs5,8,Monoclinic,Cm,m
Y3TaO7,1,Triclinic,P1,1
Dy14(PbS8)3,5,Monoclinic,C2,2
FeCu5S4,6,Monoclinic,Pm,m
Bi2Pb3F12,1,Triclinic,P1,1
SrCeN2,5,Monoclinic,C2,2
Mg(Mo3Se4)2,2,Triclinic,P-1,-1
La3O2F5,1,Triclinic,P1,1
Cu3Pd,123,Tetragonal,P4/mmm,4/mmm
CSNOF5,2,Triclinic,P-1,-1
Ce(SnPt)2,129,Tetragonal,P4/nmm,4/mmm
NbSe2,187,Hexagonal,P-6m2,-6m2
Sm2Pd2Pb,127,Tetragonal,P4/mbm,4/mmm
AlBiCl6,14,Monoclinic,P2_1/c,2/m
Ce3(Ge3Pd10)2,225,Cubic,Fm-3m,m-3m
CuCSN,160,Trigonal,R3m,3m
Eu3Ga2,15,Monoclinic,C2/c,2/m
Li13Si4,55,Orthorhombic,Pbam,mmm
Ge3N4,159,Trigonal,P31c,3m
EuPPt,194,Hexagonal,P6_3/mmc,6/mmm
Gd3Se4,220,Cubic,I-43d,-43m
Eu(CoSi)2,139,Tetragonal,I4/mmm,4/mmm
Cu4Bi5PbS11,12,Monoclinic,C2/m,2/m
Ce10US16,81,Tetragonal,P-4,-4
Ho4Zr3O12,2,Triclinic,P-1,-1
Ba11(Ta3S13)2,1,Triclinic,P1,1
Ca4ThF12,1,Triclinic,P1,1
Nb40(NO)17,160,Trigonal,R3m,3m
NaEu2Cl6,143,Trigonal,P3,3
Mg3(Mo3Se4)4,1,Triclinic,P1,1
K7(Si2Te5)4,7,Monoclinic,Pc,m
Cd2Bi6O11,1,Triclinic,P1,1
SrLiEuTeO6,7,Monoclinic,Pc,m
CeAl8O16,25,Orthorhombic,Pmm2,mm2
